iteration,query,time
1,1,11.603
1,2,0.281
1,3,0.177
1,4,0.045
1,5,0.168
1,6,0.099
1,7,0.258
1,8,0.303
1,9,0.835
1,10,0.295
1,11,0.061
1,12,0.117
1,13,1.866
1,14,0.121
1,15,0.235
1,16,4.004
1,17,27.004
1,18,0.09
1,19,0.122
1,20,38.454
1,21,0.735
1,22,6.249
2,1,11.6
2,2,0.281
2,3,0.175
2,4,0.043
2,5,0.166
2,6,0.099
2,7,0.256
2,8,0.303
2,9,0.838
2,10,0.293
2,11,0.06
2,12,0.116
2,13,1.862
2,14,0.12
2,15,0.233
2,16,3.999
2,17,27.009
2,18,0.089
2,19,0.121
2,20,38.567
2,21,0.734
2,22,6.25
3,1,11.569
3,2,0.285
3,3,0.176
3,4,0.044
3,5,0.169
3,6,0.099
3,7,0.26
3,8,0.303
3,9,0.845
3,10,0.298
3,11,0.06
3,12,0.117
3,13,1.87
3,14,0.12
3,15,0.234
3,16,4.027
3,17,26.824
3,18,0.089
3,19,0.123
3,20,37.811
3,21,0.737
3,22,6.262
4,1,11.949
4,2,0.328
4,3,0.179
4,4,0.053
4,5,0.18
4,6,0.114
4,7,0.264
4,8,0.313
4,9,0.902
4,10,0.336
4,11,0.071
4,12,0.127
4,13,1.892
4,14,0.126
4,15,0.24
4,16,4.236
4,17,26.884
4,18,0.088
4,19,0.121
4,20,37.904
4,21,0.737
4,22,6.271
5,1,11.829
5,2,0.294
5,3,0.178
5,4,0.044
5,5,0.171
5,6,0.103
5,7,0.261
5,8,0.313
5,9,0.859
5,10,0.305
5,11,0.062
5,12,0.119
5,13,1.922
5,14,0.122
5,15,0.236
5,16,4.02
5,17,27.441
5,18,0.09
5,19,0.124
5,20,38.769
5,21,0.739
5,22,6.333
6,1,11.792
6,2,0.345
6,3,0.189
6,4,0.056
6,5,0.178
6,6,0.11
6,7,0.269
6,8,0.315
6,9,0.906
6,10,0.332
6,11,0.071
6,12,0.128
6,13,1.878
6,14,0.121
6,15,0.235
6,16,4.116
6,17,27.29
6,18,0.089
6,19,0.121
6,20,38.954
6,21,0.735
6,22,6.304
7,1,12.384
7,2,0.294
7,3,0.188
7,4,0.046
7,5,0.175
7,6,0.116
7,7,0.265
7,8,0.395
7,9,0.908
7,10,0.334
7,11,0.063
7,12,0.132
7,13,1.929
7,14,0.135
7,15,0.252
7,16,3.996
7,17,27.006
7,18,0.09
7,19,0.123
7,20,38.314
7,21,0.736
7,22,6.288
8,1,11.795
8,2,0.29
8,3,0.175
8,4,0.043
8,5,0.169
8,6,0.099
8,7,0.256
8,8,0.301
8,9,0.842
8,10,0.297
8,11,0.061
8,12,0.117
8,13,1.866
8,14,0.122
8,15,0.234
8,16,4.014
8,17,26.84
8,18,0.089
8,19,0.12
8,20,38.141
8,21,0.733
8,22,6.26
9,1,11.625
9,2,0.274
9,3,0.177
9,4,0.043
9,5,0.167
9,6,0.099
9,7,0.256
9,8,0.303
9,9,0.838
9,10,0.291
9,11,0.06
9,12,0.116
9,13,1.877
9,14,0.121
9,15,0.234
9,16,3.679
9,17,26.611
9,18,0.089
9,19,0.12
9,20,38.395
9,21,0.73
9,22,6.25
10,1,11.784
10,2,0.295
10,3,0.19
10,4,0.045
10,5,0.168
10,6,0.101
10,7,0.28
10,8,0.314
10,9,0.892
10,10,0.312
10,11,0.061
10,12,0.13
10,13,1.881
10,14,0.136
10,15,0.232
10,16,4.008
10,17,26.815
10,18,0.091
10,19,0.122
10,20,37.924
10,21,0.737
10,22,6.28
